trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-100.83283081918987,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,15,-38.27688161690708,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-91.93196014792052,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-62.19649000819928,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-126.92267419840192,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",30,15,-14.220464880723169,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-130.52420559254472,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-164.8761247510476,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-112.0257557629758,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,13,-29.27016202886127,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-72.51200856097573,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,10,-40.43253592572909,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-160.05255279046563,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-86.63722166625577,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-93.26762099013376,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-72.29913209561153,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,16,-14.530436382318165,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,7,-106.07566181088727,"{0: 5, 1: 1, 2: 5, 3: 1, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.835270211411272}",30,0,-176.7305360478027,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,11,-90.1432602849149,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",30,0,-106.38081176934516,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",30,0,-135.7528120472413,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,0,-49.86012369225055,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,23.96538221137257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,0,-105.41177400238207,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,0,-62.337031189202726,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-99.33971549149419,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-54.97328737106799,"{0: 13, 1: 9, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",35,0,-143.28191103005338,"{0: 24, 1: 5, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-76.15133193278369,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,0,-170.80481166907225,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",35,0,-100.9370578726263,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,0,-36.07133865915937,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-65.39987575397919,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7117703227626097}",20,0,-71.5636829095954,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.7046880897187134}",30,0,-109.36637465306488,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,-143.8784761684553,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.6907343306373547}",30,0,-96.7435810157671,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.6838614092123558}",25,0,-66.30271750410098,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.6770568744981647}",20,0,-2.7930013996612075,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.6703200460356393}",25,0,-91.11681003536111,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",30,0,-99.50660467606555,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-109.73421889490368,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,0,-81.92305877469133,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,0,-111.99359043061617,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,5,-159.15654323086355,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",1
47,False,"{'a': 0.01, 'e': 0.631283645506926}",25,0,-90.77058545413688,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-76.82958632571389,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,11,-89.38099845780079,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-28.70653737793935,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
