trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,11,-131.76850670265057,"{0: 5, 1: 2, 2: 5, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.9094517652097,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,8,-2.9685255416899468,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.38112062227286,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.78516859578656,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.68612057910227,"{0: 10, 1: 7, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.1556290741198,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,20,-19.004549222255196,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.9727880710169,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.84473557915448,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-257.66483436963784,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,7,-90.60657607586909,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.84983457721444,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.92374414795344,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.73160681440172,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.2445501536463,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,15,9.349010188088329,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.14976595262112,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.68493449718477,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,1,-88.43210983083114,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-54.69118772668652,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.490695602688696,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,16,-63.12301883611302,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.20025602705444,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-299.3512083752823,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.76537580284433,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.34729214144994,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.184511407723,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.73987201656628,"{0: 6, 1: 7, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.8850213831796,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
